cls_token                                                    | shape: (1, 1, 768)
decoder_blocks.12.mlp.fc2.bias                               | shape: (512,)
decoder_blocks.12.norm2.weight                               | shape: (512,)
decoder_blocks.12.norm2.bias                                 | shape: (512,)
decoder_blocks.13.attn.tau                                   | shape: (16,)
decoder_blocks.13.attn.qkv.weight                            | shape: (1536, 512)
decoder_blocks.13.attn.qkv.bias                              | shape: (1536,)
decoder_blocks.13.attn.proj.weight                           | shape: (512, 512)
decoder_blocks.13.attn.proj.bias                             | shape: (512,)
decoder_blocks.13.attn.meta_mlp.fc1.weight                   | shape: (384, 2)
decoder_blocks.13.attn.meta_mlp.fc1.bias                     | shape: (384,)
decoder_blocks.13.attn.meta_mlp.fc2.weight                   | shape: (16, 384)
decoder_blocks.13.attn.meta_mlp.fc2.bias                     | shape: (16,)
decoder_blocks.13.norm1.weight                               | shape: (512,)
decoder_blocks.13.norm1.bias                                 | shape: (512,)
decoder_blocks.13.mlp.fc1.weight                             | shape: (2048, 512)
decoder_blocks.13.mlp.fc1.bias                               | shape: (2048,)
decoder_blocks.13.mlp.fc2.weight                             | shape: (512, 2048)
decoder_blocks.13.mlp.fc2.bias                               | shape: (512,)
decoder_blocks.13.norm2.weight                               | shape: (512,)
decoder_blocks.13.norm2.bias                                 | shape: (512,)
decoder_blocks.14.attn.tau                                   | shape: (16,)
decoder_blocks.14.attn.qkv.weight                            | shape: (1536, 512)
decoder_blocks.14.attn.qkv.bias                              | shape: (1536,)
decoder_blocks.14.attn.proj.weight                           | shape: (512, 512)
decoder_blocks.14.attn.proj.bias                             | shape: (512,)
decoder_blocks.14.attn.meta_mlp.fc1.weight                   | shape: (384, 2)
decoder_blocks.14.attn.meta_mlp.fc1.bias                     | shape: (384,)
decoder_blocks.14.attn.meta_mlp.fc2.weight                   | shape: (16, 384)
decoder_blocks.14.attn.meta_mlp.fc2.bias                     | shape: (16,)
decoder_blocks.14.norm1.weight                               | shape: (512,)
decoder_blocks.14.norm1.bias                                 | shape: (512,)
decoder_blocks.14.mlp.fc1.weight                             | shape: (2048, 512)
decoder_blocks.14.mlp.fc1.bias                               | shape: (2048,)
decoder_blocks.14.mlp.fc2.weight                             | shape: (512, 2048)
decoder_blocks.14.mlp.fc2.bias                               | shape: (512,)
decoder_blocks.14.norm2.weight                               | shape: (512,)
decoder_blocks.14.norm2.bias                                 | shape: (512,)
decoder_blocks.15.attn.tau                                   | shape: (16,)
decoder_blocks.15.attn.qkv.weight                            | shape: (1536, 512)
decoder_blocks.15.attn.qkv.bias                              | shape: (1536,)
decoder_blocks.15.attn.proj.weight                           | shape: (512, 512)
decoder_blocks.15.attn.proj.bias                             | shape: (512,)
decoder_blocks.15.attn.meta_mlp.fc1.weight                   | shape: (384, 2)
decoder_blocks.15.attn.meta_mlp.fc1.bias                     | shape: (384,)
decoder_blocks.15.attn.meta_mlp.fc2.weight                   | shape: (16, 384)
decoder_blocks.15.attn.meta_mlp.fc2.bias                     | shape: (16,)
decoder_blocks.15.norm1.weight                               | shape: (512,)
decoder_blocks.15.norm1.bias                                 | shape: (512,)
decoder_blocks.15.mlp.fc1.weight                             | shape: (2048, 512)
decoder_blocks.15.mlp.fc1.bias                               | shape: (2048,)
decoder_blocks.15.mlp.fc2.weight                             | shape: (512, 2048)
decoder_blocks.15.mlp.fc2.bias                               | shape: (512,)
decoder_blocks.15.norm2.weight                               | shape: (512,)
decoder_blocks.15.norm2.bias                                 | shape: (512,)
decoder_norm.weight                                          | shape: (512,)
decoder_norm.bias                                            | shape: (512,)
decoder_pred.weight                                          | shape: (256, 512)
decoder_pred.bias                                            | shape: (256,)
